plant_id,electricity_consumption_kwh,diesel_consumption_liters,natural_gas_consumption_m3,production_quantity,raw_material_consumption_kg,machine_runtime_hours,temperature_c,pressure_bar,previous_co2_emission_kg,energy_intensity,fuel_intensity,gas_intensity,raw_material_intensity,machine_utilization,day,month,quarter,day_of_week
1,20429.7,1151.7,3381.2,3667.2,8267.3,20.1,39.4,4.96,17635.7,5.57092604712042,0.3140543193717278,0.9220113438045375,2.254390270506108,0.8375,1,1,1,3
2,14502.4,692.3,3238.4,3472.2,7702.5,16.1,23.3,7.62,16261.7,4.176717930994759,0.19938367605552676,0.9326651690570821,2.218334197338863,0.6708333333333334,1,1,1,3
3,15671.6,735.2,2891.5,2466.0,5494.5,21.7,20.2,5.01,13022.7,6.35506893755069,0.29813463098134635,1.1725466342254662,2.228102189781022,0.9041666666666667,1,1,1,3
4,9561.5,459.0,1735.3,1698.0,3391.5,21.7,37.9,7.78,5889.5,5.6310365135453475,0.2703180212014134,1.021967020023557,1.9973498233215548,0.9041666666666667,1,1,1,3
5,5950.7,274.0,1104.9,1148.1,2377.8,20.7,20.4,5.97,2925.0,5.183085097116976,0.23865516941033013,0.9623726156258168,2.0710739482623466,0.8624999999999999,1,1,1,3
5,4744.8,222.3,816.0,829.3,1765.9,15.0,41.9,7.3,2423.9,5.721451826841915,0.2680573978053781,0.98396237790908,2.1293862293500543,0.625,2,1,1,4
3,11993.7,602.2,2181.9,1727.0,4090.5,16.0,39.9,6.93,9118.3,6.944817602779387,0.3486971627099016,1.2634047481181239,2.368558193398958,0.6666666666666666,2,1,1,4
4,7891.1,412.2,1528.1,1516.0,2857.2,19.3,41.9,7.2,4517.4,5.205211081794196,0.27189973614775725,1.0079815303430077,1.8846965699208442,0.8041666666666667,2,1,1,4
1,18355.3,1001.1,3249.7,3144.1,7122.2,17.5,22.1,8.36,16255.0,5.838014058077033,0.3184059031201298,1.033586717979708,2.2652587385897394,0.7291666666666666,2,1,1,4
2,21531.7,1124.2,5041.0,5217.3,11605.8,23.4,23.5,4.67,24553.8,4.126981388840972,0.21547543748682269,0.9662085753167347,2.224483928468748,0.975,2,1,1,4
1,16057.7,876.7,2480.3,2363.9,5767.2,14.1,20.7,6.8,14498.9,6.792884639790177,0.37087017217310375,1.049240661618512,2.4396971107068826,0.5875,3,1,1,5
2,19310.2,1059.4,4472.3,5030.8,11220.5,22.3,25.2,7.89,22578.3,3.8383954838196708,0.210582809891071,0.8889838594259363,2.2303609763854655,0.9291666666666667,3,1,1,5
3,14933.5,783.3,2980.6,2025.9,5356.9,21.2,18.5,9.42,13046.4,7.37129177155832,0.3866429734932622,1.4712473468581864,2.6442075127104,0.8833333333333333,3,1,1,5
4,6674.5,381.7,1346.8,1251.2,2613.6,16.9,19.7,8.53,4161.2,5.334478900255754,0.3050671355498721,1.0764066496163682,2.088874680306905,0.7041666666666666,3,1,1,5
5,5780.7,246.8,1070.6,1094.6,2117.6,18.5,30.9,8.37,2697.1,5.2811072537913395,0.22547049150374568,0.9780741823497168,1.9345879773433219,0.7708333333333334,3,1,1,5
5,5382.3,239.4,1048.7,1068.9,2284.9,18.0,31.2,4.77,2899.9,5.035363457760314,0.22396856581532415,0.9811020675460753,2.137618112077837,0.75,4,1,1,6
4,9128.9,481.4,1479.4,1642.7,3156.2,20.9,38.7,5.82,5144.8,5.557253302489803,0.29305411822000366,0.9005904912643818,1.921348998599866,0.8708333333333332,4,1,1,6
1,26469.9,1392.5,4122.6,3831.9,8985.9,23.5,26.1,7.62,21722.5,6.907774211226807,0.3633967483493828,1.0758631488295625,2.34502466139513,0.9791666666666666,4,1,1,6
2,13507.5,660.4,3262.2,3286.8,6503.1,14.7,23.7,8.05,15144.1,4.109620299379335,0.20092491176828525,0.9925155166119021,1.9785505658999636,0.6124999999999999,4,1,1,6
3,16212.2,797.1,3333.7,2537.6,5659.1,22.9,20.3,6.78,13419.7,6.388792559899118,0.3141156998738966,1.3137216267339218,2.2300993064312737,0.9541666666666666,4,1,1,6
1,27260.9,1489.1,3870.3,4049.5,8855.0,23.2,27.6,4.81,23972.9,6.731917520681566,0.3677244104210396,0.9557476231633536,2.1866897147796025,0.9666666666666667,5,1,1,0
2,15525.0,776.7,3427.7,3750.2,8458.8,16.5,31.3,8.31,17063.3,4.139779211775372,0.20710895418910993,0.9140045864220575,2.255559703482481,0.6875,5,1,1,0
3,16445.7,818.9,3360.8,2241.8,6113.2,23.2,30.1,9.02,13767.8,7.335935409046302,0.3652868230885895,1.4991524667677758,2.7269158711749486,0.9666666666666667,5,1,1,0
4,5973.8,316.7,1137.2,1127.6,2154.5,14.8,39.4,5.8,3752.0,5.2978006385243,0.2808620078041859,1.0085136573252929,1.910695282014899,0.6166666666666667,5,1,1,0
